school,negeri,swasta
TK,4960,92124
KB,474,86284
TPA,40,2808
SPS,72,21563
SD,130465,18815
SMP,23921,18283
SDLB,22,59
SMPLB,5,38
MI,1710,24774
MTs,1520,17718
Paket A,0,147
Paket B,0,0
SMA,6999,7233
SMLB,4,28
SMK,3696,10773
MA,806,8947
MAK,2,2
Paket C,0,0
Akademik,39,1339
Politeknik,155,240
Sekolah Tinggi,96,2898
Institut,71,295
Universitas,136,720
SLB,591,1526
Kursus,13,11121
Keaksaraan,0,0
TBM,0,0
PKBM,106,10435
Life Skill,0,0
Satap TK SD,0,0
Satap SD SMP,0,0
Satap TK SD SMP,0,0
Satap SD SMP SMA,0,0
RA,0,31484
SMP Terbuka,0,0
SMPTK,0,111
SMTK,4,175
SDTK,0,70
SPK PG,0,9
SPK TK,0,21
SPK SD,0,179
SPK SMP,0,165
SPK SMA,0,115
Pondok Pesantren,1,3250
SMAg.K,3,42
SKB,458,2
Taman Seminari,0,50
TKLB,1,16
Pratama W P,0,52
Adi W P,0,9
Madyama W P,0,3
Utama W P,0,5
SMAK,0,52
SPK KB,0,4
PAUDQ,0,1998
Akademi Komunitas,2,21
Nava Dhammasekha,0,24
Mula Dhammasekha,0,0
Muda Dhammasekha,0,0
Uttama Dhammasekha,0,0
Uttama Dhammasekha Kejuruan,0,0
PDF Ula,0,0
PDF Wustha,0,0
PDF Ulya,0,0
SPM Ula,0,0
SPM Wustha,0,0
SPM Ulya,0,0